eco,name,pgn,move,color,fen,master,lichess,white,draws,black
B14,"Caro-Kann Defense: Panov Attack, Fianchetto Defense, Fianchetto Gambit",1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 g6 6. cxd5 Bg7,12,black,rnbqk2r/pp2ppbp/5np1/3P4/3P4/2N5/PP3PPP/R1BQKBNR w KQkq - 1 7,mkP2LshG,r6DdIppp,62743,9680,64620
C20,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit",1. e4 e5 2. Qh5 Nf6,4,black,rnbqkb1r/pppp1ppp/5n2/4p2Q/4P3/8/PPPP1PPP/RNB1KBNR w KQkq - 2 3,,Sa0NTBHe,63160,5110,64507
C25,"Vienna Gambit, with Max Lange Defense: Pierce Gambit",1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. d4,9,white,r1bqkbnr/pppp1p1p/2n5/6p1/3PPp2/2N2N2/PPP3PP/R1BQKB1R b KQkq - 0 5,iBafLqvo,,57340,3874,67228
A02,Bird Opening: Hobbs Gambit,1. f4 g5,2,black,rnbqkbnr/pppppp1p/8/6p1/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2,JUJMiLPN,IcakUm06,61091,4419,62648
C02,"French Defense: Advance Variation, Ruisdonk Gambit",1. e4 e6 2. d4 d5 3. e5 c5 4. Nf3 cxd4 5. Bd3,9,white,rnbqkbnr/pp3ppp/4p3/3pP3/3p4/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 5,LpTeGYDu,XawlgH2J,65936,5008,57211
A19,"English Opening: Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit",1. c4 Nf6 2. Nc3 e6 3. e4 c5 4. e5 Ng8,8,black,rnbqkbnr/pp1p1ppp/4p3/2p1P3/2P5/2N5/PP1P1PPP/R1BQKBNR w KQkq - 1 5,F3ecGkHo,Q3PZxcwD,64380,5942,54788
C25,"Vienna Gambit, with Max Lange Defense: Steinitz Gambit",1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. d4,7,white,r1bqkbnr/pppp1ppp/2n5/8/3PPp2/2N5/PPP3PP/R1BQKBNR b KQkq - 0 4,EHfyWvjb,KZmyogqg,65025,4319,53206
C00,"French Defense: Knight Variation, Franco-Hiva Gambit",1. e4 e6 2. Nf3 f5,4,black,rnbqkbnr/pppp2pp/4p3/5p2/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,,kmkRXnmp,59606,4476,56950
C56,"Italian Game: Scotch Gambit, Nakhmanson Gambit",1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O Nxe4 6. Nc3,11,white,r1bqkb1r/pppp1ppp/2n5/8/2Bpn3/2N2N2/PPP2PPP/R1BQ1RK1 b kq - 1 6,quBrqMYz,HN98fDwe,60409,6772,53009
C21,Center Game: Ross Gambit,1. e4 e5 2. d4 exd4 3. Bd3,5,white,rnbqkbnr/pppp1ppp/8/8/3pP3/3B4/PPP2PPP/RNBQK1NR b KQkq - 1 3,,,61531,3552,54518
B06,Modern Defense: Wind Gambit,1. e4 g6 2. d4 Bg7 3. Bd3,5,white,rnbqk1nr/ppppppbp/6p1/8/3PP3/3B4/PPP2PPP/RNBQK1NR b KQkq - 2 3,H1BWNaG5,skvvga1B,56393,4508,58633
C43,"Bishop's Opening: Urusov Gambit, Keidansky Gambit",1. e4 e5 2. Bc4 Nf6 3. d4 exd4 4. Nf3 Nxe4 5. Qxd4,9,white,rnbqkb1r/pppp1ppp/8/8/2BQn3/5N2/PPP2PPP/RNB1K2R b KQkq - 0 5,eTGxYEP2,CUQSkGoi,66547,3852,44223
A02,Bird Opening: Wagner-Zwitersch Gambit,1. f4 f5 2. e4,3,white,rnbqkbnr/ppppp1pp/8/5p2/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,j0oAIuDS,y4slCK2p,57426,3618,46140
C44,Irish Gambit,1. e4 e5 2. Nf3 Nc6 3. Nxe5,5,white,r1bqkbnr/pppp1ppp/2n5/4N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,bgD3rk9v,,49287,3230,54625
B27,Sicilian Defense: Brussels Gambit,1. e4 c5 2. Nf3 f5,4,black,rnbqkbnr/pp1pp1pp/8/2p2p2/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,CjIWndk9,FMq6jUF8,44263,2803,53509
A00,Van Geet Opening: Dougherty Gambit,1. Nc3 d5 2. e4 dxe4 3. f3,5,white,rnbqkbnr/ppp1pppp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq - 0 3,,,51918,3909,44420
C39,"King's Gambit Accepted: Kieseritzky Gambit, Cotter Gambit",1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ng5 h6 6. Nxf7,11,white,rnbqkbnr/pppp1N2/7p/8/4PppP/8/PPPP2P1/RNBQKB1R b KQkq - 0 6,eQx8kiT3,y7XsIjlK,50751,2860,44263
B02,Alekhine Defense: Spielmann Gambit,1. e4 Nf6 2. Nc3 d5 3. e5 Nfd7 4. e6,7,white,rnbqkb1r/pppnpppp/4P3/3p4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 0 4,hlatp1EA,kl4slweJ,50898,3437,41996
D21,Queen's Gambit Accepted: Slav Gambit,1. d4 d5 2. c4 dxc4 3. Nf3 b5,6,black,rnbqkbnr/p1p1pppp/8/1p6/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,,rIEvnHjG,55860,4081,35636
A80,Dutch Defense: Janzen-Korchnoi Gambit,1. d4 f5 2. h3 Nf6 3. g4,5,white,rnbqkb1r/ppppp1pp/5n2/5p2/3P2P1/7P/PPP1PP2/RNBQKBNR b KQkq - 0 3,YxNtELQi,Gnv909C8,55372,3295,35028
D00,Blackmar-Diemer Gambit Declined: Elbert Countergambit,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 e5,8,black,rnbqkb1r/ppp2ppp/5n2/4p3/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq - 0 5,q4GLi5pK,jU1X73QQ,45923,4439,42543
C41,Philidor Defense: Albin-Blackburne Gambit,1. e4 e5 2. Nf3 d6 3. d4 Bg4 4. dxe5 Nd7,8,black,r2qkbnr/pppn1ppp/3p4/4P3/4P1b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 5,8CCwicyX,Iq3gR8XM,38649,4289,49773
D00,Blackmar-Diemer Gambit Declined: Brombacher Countergambit,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 c5,8,black,rnbqkb1r/pp2pppp/5n2/2p5/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq - 0 5,x23kDo3K,,42669,4523,44326
C44,King's Pawn Game: Schulze-Müller Gambit,1. e4 e5 2. Nf3 Nc6 3. Nxe5 Nxe5 4. d4,7,white,r1bqkbnr/pppp1ppp/8/4n3/3PP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,bgD3rk9v,,41163,2578,44060
C37,King's Gambit Accepted: Quade Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Nc3,7,white,rnbqkbnr/pppp1p1p/8/6p1/4Pp2/2N2N2/PPPP2PP/R1BQKB1R b KQkq - 1 4,8rlVmec4,kB5RLCLa,46968,3184,37527
B50,"Sicilian Defense: Delayed Alapin Variation, Basman-Palatnik Gambit",1. e4 c5 2. Nf3 d6 3. c3 Nf6 4. Be2 Nc6 5. d4 cxd4 6. cxd4 Nxe4,12,black,r1bqkb1r/pp2pppp/2np4/8/3Pn3/5N2/PP2BPPP/RNBQK2R w KQkq - 0 7,viquM62p,,49516,3621,33879
C37,King's Gambit Accepted: Sörensen Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. d4 g4 5. Ne5,9,white,rnbqkbnr/pppp1p1p/8/4N3/3PPpp1/8/PPP3PP/RNBQKB1R b KQkq - 1 5,T9lDPIbp,QJN9923L,34424,2483,48237
B03,"Alekhine Defense: Modern Variation, Alekhine Gambit",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. Nf3 Bg4 6. Be2,11,white,rn1qkb1r/ppp1pppp/1n1p4/4P3/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQkq - 4 6,dVp95f4j,voVOGNm1,36549,4022,44097
A00,Van Geet Opening: Laroche Gambit,1. Nc3 b5,2,black,rnbqkbnr/p1pppppp/8/1p6/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2,,nyDoVFLr,36726,3031,43099
C77,"Ruy Lopez: Morphy Defense, Jaffe Gambit",1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. c3,9,white,r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 5,,eT8OEpEf,40521,3659,38490
C33,King's Gambit Accepted: Mason-Keres Gambit,1. e4 e5 2. f4 exf4 3. Nc3,5,white,rnbqkbnr/pppp1ppp/8/8/4Pp2/2N5/PPPP2PP/R1BQKBNR b KQkq - 1 3,kUEETsWd,kS9olaht,44239,2952,33471
C31,"Van Geet Opening: Grünfeld Defense, Steiner Gambit",1. e4 e5 2. f4 d5 3. Nc3 dxe4 4. Nxe4,7,white,rnbqkbnr/ppp2ppp/8/4p3/4NP2/8/PPPP2PP/R1BQKBNR b KQkq - 0 4,,w6sIjT1t,35903,3322,38003
B20,"Sicilian Defense: Euwe Attack, Prins Gambit",1. e4 c5 2. b3 d5 3. Bb2,5,white,rnbqkbnr/pp2pppp/8/2pp4/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq - 1 3,,DZHB5ysz,36950,3058,36648
C37,King's Gambit Accepted: Lolli Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. Bxf7+,9,white,rnbqkbnr/pppp1B1p/8/8/4Ppp1/5N2/PPPP2PP/RNBQK2R b KQkq - 0 5,,nhbZ9bHR,39998,2085,34395
D02,Queen's Pawn Game: Chandler Gambit,1. d4 d5 2. Nf3 c5 3. g3 cxd4 4. Bg2,7,white,rnbqkbnr/pp2pppp/8/3p4/3p4/5NP1/PPP1PPBP/RNBQK2R b KQkq - 1 4,NcirjMwk,,40234,4142,31700
C24,"Bishop's Opening: Berlin Defense, Greco Gambit",1. e4 e5 2. Bc4 Nf6 3. f4,5,white,rnbqkb1r/pppp1ppp/5n2/4p3/2B1PP2/8/PPPP2PP/RNBQK1NR b KQkq - 0 3,ax1kfH4D,MJCD1KCl,34464,2564,38584
B02,"Alekhine Defense: Scandinavian Variation, Myers Gambit",1. e4 Nf6 2. Nc3 d5 3. d3 dxe4 4. Bg5,7,white,rnbqkb1r/ppp1pppp/5n2/6B1/4p3/2NP4/PPP2PPP/R2QKBNR b KQkq - 1 4,lBYI9Qju,L8Hlywy2,34929,2853,31647
A01,Nimzo-Larsen Attack: Pachman Gambit,1. b3 e5 2. Bb2 Nc6 3. f4,5,white,r1bqkbnr/pppp1ppp/2n5/4p3/5P2/1P6/PBPPP1PP/RN1QKBNR b KQkq - 0 3,,x3kr0CuA,28747,2177,34798
C52,Italian Game: Evans Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bxb4 5. c3 Ba5 6. O-O d6,12,black,r1bqk1nr/ppp2ppp/2np4/b3p3/2B1P3/2P2N2/P2P1PPP/RNBQ1RK1 w kq - 0 7,z1lGhChV,RIdZaRg2,31159,2146,32390
C40,"King's Pawn Game: Busch-Gass Gambit, Chiodini Gambit",1. e4 e5 2. Nf3 Bc5 3. Nxe5 Nc6,6,black,r1bqk1nr/pppp1ppp/2n5/2b1N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq - 1 4,,8QlC326U,33877,2236,29488
C21,Center Game: Lanc-Arnold Gambit,1. e4 e5 2. d4 exd4 3. Nf3 Bc5 4. c3,7,white,rnbqk1nr/pppp1ppp/8/2b5/3pP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,U2lf5ptx,Y84PiO5T,38511,1885,25181
D06,"Queen's Gambit Declined: Austrian Defense, Gusev Countergambit",1. d4 d5 2. c4 c5 3. cxd5 Nf6,6,black,rnbqkb1r/pp2pppp/5n2/2pP4/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 1 4,gTcWLZti,5drXK7C2,28877,4771,30775
C21,"Center Game: Lanc-Arnold Gambit, Schippler Gambit",1. e4 e5 2. d4 exd4 3. Nf3 Bc5 4. c3 dxc3 5. Bc4,9,white,rnbqk1nr/pppp1ppp/8/2b5/2B1P3/2p2N2/PP3PPP/RNBQK2R b KQkq - 1 5,,qhPVKwbm,36698,1890,25081
C44,Latvian Gambit: Clam Gambit,1. e4 e5 2. Nf3 Nc6 3. d3 f5 4. exf5,7,white,r1bqkbnr/pppp2pp/2n5/4pP2/8/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,kRhWEaia,6KyvDuLs,26354,2435,34788
B12,Caro-Kann Defense: Mieses Gambit,1. e4 c6 2. d4 d5 3. Be3,5,white,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq - 1 3,,Thuc4cS4,30547,2248,29744
A09,"Réti Opening: Advance Variation, Michel Gambit",1. Nf3 d5 2. c4 d4 3. b4 c5,6,black,rnbqkbnr/pp2pppp/8/2p5/1PPp4/5N2/P2PPPPP/RNBQKB1R w KQkq - 0 4,M2DWTbun,gfNQy3qr,30847,2796,28317
A00,Hungarian Opening: Van Kuijk Gambit,1. g3 h5 2. Nf3 h4,4,black,rnbqkbnr/ppppppp1/8/8/7p/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3,oDmvbanf,aKlwY4oM,29263,2600,29563
B01,Scandinavian Defense: Kádas Gambit,1. e4 d5 2. exd5 Nf6 3. d4 c6 4. dxc6 e5,8,black,rnbqkb1r/pp3ppp/2P2n2/4p3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 5,,,27777,3067,30003
B10,Caro-Kann Defense: Toikkanen Gambit,1. e4 c6 2. c4 d5 3. e5,5,white,rnbqkbnr/pp2pppp/2p5/3pP3/2P5/8/PP1P1PPP/RNBQKBNR b KQkq - 0 3,X2iaorbG,BCGNPnEU,29437,2510,27863
C41,"Philidor Defense: Lion Variation, Shirov Gambit",1. e4 e5 2. Nf3 d6 3. d4 Nd7 4. Nc3 Ngf6 5. g4,9,white,r1bqkb1r/pppn1ppp/3p1n2/4p3/3PP1P1/2N2N2/PPP2P1P/R1BQKB1R b KQkq - 0 5,QHsRYigF,BbxgJ8BB,32243,2787,24526
C24,Bishop's Opening: Warsaw Gambit,1. e4 e5 2. Bc4 Nf6 3. d4 exd4 4. c3,7,white,rnbqkb1r/pppp1ppp/5n2/8/2BpP3/2P5/PP3PPP/RNBQK1NR b KQkq - 0 4,,Mkqlxm6o,29249,2034,26648
A10,English Opening: Myers Gambit,1. c4 g5 2. d4 Bg7,4,black,rnbqk1nr/ppppppbp/8/6p1/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,zJObCBZb,2BE2XAqs,27572,1948,28242
C60,Ruy Lopez: Spanish Countergambit,1. e4 e5 2. Nf3 Nc6 3. Bb5 d5,6,black,r1bqkbnr/ppp2ppp/2n5/1B1pp3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,,DH2LWZ9S,31837,2356,23032
C20,"King's Pawn Game: MacLeod Attack, Lasa Gambit",1. e4 e5 2. c3 f5,4,black,rnbqkbnr/pppp2pp/8/4pp2/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3,,IB1JJsXX,26267,1703,28877
D31,"Semi-Slav Defense: Noteboom Variation, Anti-Noteboom Gambit",1. d4 d5 2. c4 e6 3. Nc3 c6 4. Nf3 dxc4 5. g3,9,white,rnbqkbnr/pp3ppp/2p1p3/8/2pP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq - 0 5,xx46g9vQ,buVB0a5s,30346,2317,23665
D00,"Blackmar-Diemer Gambit: Lemberger Countergambit, Lange Gambit",1. d4 d5 2. e4 dxe4 3. Nc3 e5 4. Nxe4,7,white,rnbqkbnr/ppp2ppp/8/4p3/3PN3/8/PPP2PPP/R1BQKBNR b KQkq - 0 4,YRt7XrzG,tUGwIbae,27159,2584,26458
A84,Dutch Defense: Bellon Gambit,1. d4 f5 2. c4 e6 3. e4,5,white,rnbqkbnr/pppp2pp/4p3/5p2/2PPP3/8/PP3PPP/RNBQKBNR b KQkq - 0 3,gV0pGPjx,,28409,2494,25228
C23,Bishop's Opening: Stein Gambit,1. e4 e5 2. Bc4 Bc5 3. f4,5,white,rnbqk1nr/pppp1ppp/8/2b1p3/2B1PP2/8/PPPP2PP/RNBQK1NR b KQkq - 0 3,S3SWvRaj,2mmVshDe,26848,1747,27288
B00,"Nimzowitsch Defense: Kennedy Variation, Hammer Gambit",1. e4 Nc6 2. d4 e5 3. dxe5 f6,6,black,r1bqkbnr/pppp2pp/2n2p2/4P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,,aS6N1CS4,28356,1896,24395
C37,King's Gambit Accepted: Ghulam-Kassim Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. d4,9,white,rnbqkbnr/pppp1p1p/8/8/2BPPpp1/5N2/PPP3PP/RNBQK2R b KQkq - 0 5,,DeLDZ5Dd,30231,1437,22804
A03,Bird Opening: Williams Gambit,1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Qe2,7,white,rnbqkb1r/ppp1pppp/5n2/8/4pP2/2N5/PPPPQ1PP/R1B1KBNR b KQkq - 3 4,,gYcObsR5,27522,1622,25061
A03,Bird Opening: Williams-Zilbermints Gambit,1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Nge2,7,white,rnbqkb1r/ppp1pppp/5n2/8/4pP2/2N5/PPPPN1PP/R1BQKB1R b KQkq - 3 4,,VXMaM2B3,25388,1908,26878
B50,"Sicilian Defense: Delayed Alapin Variation, Basman-Palatnik Double Gambit",1. e4 c5 2. Nf3 d6 3. c3 Nf6 4. Be2 Nc6 5. d4 cxd4 6. cxd4 Nxe4 7. d5 Qa5+ 8. Nc3 Nxc3 9. bxc3,17,white,r1b1kb1r/pp2pppp/2np4/q2P4/8/2P2N2/P3BPPP/R1BQK2R b KQkq - 0 9,ZMmkyiQA,NumGge7O,29720,2505,21505
C47,"Four Knights Game: Scotch Variation, Krause Gambit",1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. d4 Bb4 5. Nxe5,9,white,r1bqk2r/pppp1ppp/2n2n2/4N3/1b1PP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,otEMQDOD,GhhHpnxT,28953,3706,20659
A10,English Opening: Achilles-Omega Gambit,1. c4 Nf6 2. e4,3,white,rnbqkb1r/pppppppp/5n2/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq - 0 2,L9IARr8p,,23889,2104,26684
B03,"Alekhine Defense: Four Pawns Attack, Cambridge Gambit",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g5,10,black,rnbqkb1r/ppp1pp1p/1n1p4/4P1p1/2PP1P2/8/PP4PP/RNBQKBNR w KQkq - 0 6,oJibXU8P,,24273,2206,26128
C38,King's Gambit Accepted: Mayet Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 Bg7 5. d4 d6 6. c3,11,white,rnbqk1nr/ppp2pbp/3p4/6p1/2BPPp2/2P2N2/PP4PP/RNBQK2R b KQkq - 0 6,,P9i6LRK4,22471,1836,27563
B00,"Nimzowitsch Defense: Kennedy Variation, Bielefelder Gambit",1. e4 Nc6 2. d4 e5 3. dxe5 Bc5,6,black,r1bqk1nr/pppp1ppp/2n5/2b1P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,,,26481,1898,23459
A02,Bird Opening: Lasker Gambit,1. f4 e5 2. fxe5 f6,4,black,rnbqkbnr/pppp2pp/5p2/4P3/8/8/PPPPP1PP/RNBQKBNR w KQkq - 0 3,,iPbQtmwN,26515,1765,23517
C34,King's Gambit Accepted: Gianutio Countergambit,1. e4 e5 2. f4 exf4 3. Nf3 f5,6,black,rnbqkbnr/pppp2pp/8/5p2/4Pp2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 4,,nr5dlsbP,24939,1774,23674
A50,Indian Defense: Pyrenees Gambit,1. d4 Nf6 2. c4 b5,4,black,rnbqkb1r/p1pppppp/5n2/1p6/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,,NREpM6rM,25332,2159,22521
A00,Van Geet Opening: Tübingen Gambit,1. Nc3 Nf6 2. g4,3,white,rnbqkb1r/pppppppp/5n2/8/6P1/2N5/PPPPPP1P/R1BQKBNR b KQkq - 0 2,zEBM3woj,,26008,2196,20946
E17,"Queen's Indian Defense: Classical Variation, Polugaevsky Gambit",1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7 6. O-O O-O 7. d5 exd5 8. Nh4,15,white,rn1q1rk1/pbppbppp/1p3n2/3p4/2P4N/6P1/PP2PPBP/RNBQ1RK1 b - - 1 8,FWi6QnOY,vaf9RitW,26477,2787,19463
A00,Polish Opening: Tartakower Gambit,1. b4 e5 2. Bb2 f6 3. e4,5,white,rnbqkbnr/pppp2pp/5p2/4p3/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq - 0 3,SwrtfgeU,AUoVm5W6,23871,1754,21778
C20,King's Pawn Game: Weber Gambit,1. e4 e5 2. d3 d5 3. exd5 c6 4. dxc6 Nxc6,8,black,r1bqkbnr/pp3ppp/2n5/4p3/8/3P4/PPP2PPP/RNBQKBNR w KQkq - 0 5,,v2kkeP8k,20201,1906,25150
C38,King's Gambit Accepted: Philidor Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 Bg7 5. h4,9,white,rnbqk1nr/pppp1pbp/8/6p1/2B1Pp1P/5N2/PPPP2P1/RNBQK2R b KQkq - 0 5,gsJ5khoB,wzYhvwtT,22183,1714,22974
C15,"French Defense: MacCutcheon Variation, Wolf Gambit",1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. Ne2 Nf6 5. Bg5,9,white,rnbqk2r/ppp2ppp/4pn2/3p2B1/1b1PP3/2N5/PPP1NPPP/R2QKB1R b KQkq - 5 5,A5se2clq,DpROl30a,22527,3019,19527
A00,Van Geet Opening: Kluever Gambit,1. Nc3 f5 2. e4 fxe4 3. d3,5,white,rnbqkbnr/ppppp1pp/8/8/4p3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 3,uNr9TgPq,tPsYQbLQ,25265,1487,18025
A02,"Bird Opening: From's Gambit, Bahr Gambit",1. f4 e5 2. Nc3,3,white,rnbqkbnr/pppp1ppp/8/4p3/5P2/2N5/PPPPP1PP/R1BQKBNR b KQkq - 1 2,,uVxJZejG,22270,1430,20960
C37,King's Gambit Accepted: Ghulam-Kassim Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. d4 gxf3 6. Qxf3,11,white,rnbqkbnr/pppp1p1p/8/8/2BPPp2/5Q2/PPP3PP/RNB1K2R b KQkq - 0 6,,DeLDZ5Dd,23812,1193,18827
B10,Caro-Kann Defense: Hector Gambit,1. e4 c6 2. Nc3 d5 3. Nf3 dxe4 4. Ng5,7,white,rnbqkbnr/pp2pppp/2p5/6N1/4p3/2N5/PPPP1PPP/R1BQKB1R b KQkq - 1 4,U4XxqEWo,yaOxxhAK,20895,1869,18389
C44,Ponziani Opening: Vukovic Gambit,1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 4. d4 Nxe4 5. d5 Bc5,10,black,r1bqk2r/pppp1ppp/2n5/2bPp3/4n3/2P2N2/PP3PPP/RNBQKB1R w KQkq - 1 6,8AqzUI9Y,wPLKCLeD,16447,1473,23233
B06,Modern Defense: Westermann Gambit,1. e4 g6 2. d4 Bg7 3. Bd2,5,white,rnbqk1nr/ppppppbp/6p1/8/3PP3/8/PPPB1PPP/RN1QKBNR b KQkq - 2 3,,CNaykzBu,20411,1642,18865
C25,"Vienna Gambit, with Max Lange Defense: Hamppe-Allgaier Gambit",1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. h4 g4 6. Ng5,11,white,r1bqkbnr/pppp1p1p/2n5/6N1/4PppP/2N5/PPPP2P1/R1BQKB1R b KQkq - 1 6,pwsSa3An,Vi0gknpv,22859,1309,16746
A50,"A50 Indian Defense: Normal Variation, Wagon Gambit",1. d4 Nf6 2. c4 a6 3. Nc3 b5,6,black,rnbqkb1r/2pppppp/p4n2/1p6/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,,HHufT0iy,20334,1785,18595
C64,"Ruy Lopez: Classical Variation, Cordel Gambit",1. e4 e5 2. Nf3 Nc6 3. Bb5 Bc5 4. c3 f5,8,black,r1bqk1nr/pppp2pp/2n5/1Bb1pp2/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 0 5,,,18635,2072,19943
C34,King's Gambit Accepted: Greco Gambit,1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. h4,11,white,rnbqkbnr/ppp2p2/3p3p/6p1/2BPPp1P/5N2/PPP3P1/RNBQK2R b KQkq - 0 6,NJf5ByH0,y2q2VmAT,18690,1519,19595
D80,Grünfeld Defense: Zaitsev Gambit,1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. h4,7,white,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP3P/2N5/PP2PPP1/R1BQKBNR b KQkq - 0 4,hAs4OeAb,VNYHBo1G,19247,1963,18171
A00,Van Geet Opening: Hector Gambit,1. Nc3 d5 2. e4 dxe4 3. Bc4,5,white,rnbqkbnr/ppp1pppp/8/8/2B1p3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 1 3,,o9CN6wbN,18233,1431,19282
B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation, Gufeld Gambit",1. e4 c5 2. Nf3 Nc6 3. Bb5 g6 4. O-O Bg7 5. c3 e5 6. d4,11,white,r1bqk1nr/pp1p1pbp/2n3p1/1Bp1p3/3PP3/2P2N2/PP3PPP/RNBQ1RK1 b kq - 0 6,xX7Czmab,2CCBetTl,20217,2032,16521
C00,French Defense: Baeuerle Gambit,1. e4 e6 2. d4 b5,4,black,rnbqkbnr/p1pp1ppp/4p3/1p6/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,HEkAfjd2,UzQhUfF9,17664,1446,17537
D31,Semi-Slav Defense: Gunderam Gambit,1. d4 d5 2. c4 e6 3. Nc3 c6 4. e4 dxe4 5. f3,9,white,rnbqkbnr/pp3ppp/2p1p3/8/2PPp3/2N2P2/PP4PP/R1BQKBNR b KQkq - 0 5,785haJIS,4QmxOUxb,21161,1165,13882
B28,"Sicilian Defense: O'Kelly Variation, Wing Gambit",1. e4 c5 2. Nf3 a6 3. b4,5,white,rnbqkbnr/1p1ppppp/p7/2p5/1P2P3/5N2/P1PP1PPP/RNBQKB1R b KQkq - 0 3,lFHVTq5v,,17430,1552,16712
B28,"Sicilian Defense: O'Kelly Variation, Normal System, Cortlever Gambit",1. e4 c5 2. Nf3 a6 3. d4 cxd4 4. Bc4,7,white,rnbqkbnr/1p1ppppp/p7/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 4,hb9tTzoF,nLYPDqPz,17113,1174,17001
