eco,name,pgn,move,color,fen,master,lichess,white,draws,black
C02,"French Defense: Advance Variation, Milner-Barry Gambit",1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 Qb6 6. Bd3,11,white,r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq - 4 6,IVRaN9hb,t4YZfxGs,1099098,88295,974535
B01,Scandinavian Defense: Blackburne Gambit,1. e4 d5 2. exd5 c6 3. dxc6 Nxc6,6,black,r1bqkbnr/pp2pppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 4,6jXXGxd6,njRvvaV1,967893,87553,1025961
A45,Indian Defense: Omega Gambit,1. d4 Nf6 2. e4,3,white,rnbqkb1r/pppppppp/5n2/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,tX2LBKSZ,MdxqQE1f,929253,68439,989614
C55,Italian Game: Scotch Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O,9,white,r1bqkb1r/pppp1ppp/2n2n2/8/2BpP3/5N2/PPP2PPP/RNBQ1RK1 b kq - 1 5,y8waWkpE,XN1OgUcE,991337,107011,859509
B01,Scandinavian Defense: Icelandic-Palme Gambit,1. e4 d5 2. exd5 Nf6 3. c4 e6,6,black,rnbqkb1r/ppp2ppp/4pn2/3P4/2P5/8/PP1P1PPP/RNBQKBNR w KQkq - 0 4,ukKcGWvV,R369Cg3m,863220,82804,999817
C50,Italian Game: Blackburne-Kostić Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4,6,black,r1bqkbnr/pppp1ppp/8/4p3/2BnP3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,,,949395,82577,879250
C50,Italian Game: Rousseau Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 f5,6,black,r1bqkbnr/pppp2pp/2n5/4pp2/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,7cdv8VdN,aKjGHNxG,854489,61553,939335
C37,King's Gambit Accepted: King's Knight's Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4,7,white,rnbqkbnr/pppp1p1p/8/6p1/2B1Pp2/5N2/PPPP2PP/RNBQK2R b KQkq - 1 4,iNs71Tbl,YEjWI6pZ,868460,56017,902116
D00,Queen's Pawn Game: Hübsch Gambit,1. d4 Nf6 2. Nc3 d5 3. e4,5,white,rnbqkb1r/ppp1pppp/5n2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,BQtmv8hb,mD0jVxjI,929754,70463,817041
C50,"Italian Game: Classical Variation, Albin Gambit",1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O Nf6 5. c3,9,white,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq - 0 5,HixRSBGx,,917100,72355,788578
C44,Scotch Game: Haxo Gambit,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. c3,9,white,r1bqk1nr/pppp1ppp/2n5/2b5/2BpP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 5,foLJYnho,,930082,72172,738113
C37,King's Gambit Accepted: Blachly Gambit,1. e4 e5 2. f4 exf4 3. Nf3 Nc6 4. Bc4,7,white,r1bqkbnr/pppp1ppp/2n5/8/2B1Pp2/5N2/PPPP2PP/RNBQK2R b KQkq - 3 4,,6u6rzaNn,860986,55482,755342
B01,Scandinavian Defense: Portuguese Gambit,1. e4 d5 2. exd5 Nf6 3. d4 Bg4,6,black,rn1qkb1r/ppp1pppp/5n2/3P4/3P2b1/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,fALCWUdm,xW5N79bb,674120,75023,809682
B02,"Alekhine Defense: Scandinavian Variation, Geschev Gambit",1. e4 Nf6 2. Nc3 d5 3. exd5 c6,6,black,rnbqkb1r/pp2pppp/2p2n2/3P4/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 4,,,708990,61569,745339
B01,Scandinavian Defense: Boehnke Gambit,1. e4 d5 2. exd5 e5 3. dxe6 Bxe6,6,black,rn1qkbnr/ppp2ppp/4b3/8/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 4,,TjJCcFd8,716433,55507,682275
C10,Sicilian Defense: Marshall Gambit,1. e4 c5 2. Nc3 e6 3. d4 d5,6,black,rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,NWPmnYY9,,771555,61579,608219
C00,French Defense: Wing Gambit,1. e4 e6 2. Nf3 d5 3. e5 c5 4. b4,7,white,rnbqkbnr/pp3ppp/4p3/2ppP3/1P6/5N2/P1PP1PPP/RNBQKB1R b KQkq - 0 4,wfph4PpS,sdCDRfBz,754792,54747,577563
D00,Blackmar-Diemer Gambit: Blackmar Gambit,1. d4 d5 2. e4 dxe4 3. f3,5,white,rnbqkbnr/ppp1pppp/8/8/3Pp3/5P2/PPP3PP/RNBQKBNR b KQkq - 0 3,,eelrR8KE,689169,48798,628178
D31,Semi-Slav Defense: Marshall Gambit,1. d4 d5 2. c4 e6 3. Nc3 c6 4. e4,7,white,rnbqkbnr/pp3ppp/2p1p3/3p4/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 4,FQY0frbv,,724174,59611,531429
B15,Caro-Kann Defense: Rasa-Studier Gambit,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. f3,7,white,rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 4,,QL8X7qSi,657578,47889,534833
C33,King's Gambit Accepted: Bishop's Gambit,1. e4 e5 2. f4 exf4 3. Bc4,5,white,rnbqkbnr/pppp1ppp/8/8/2B1Pp2/8/PPPP2PP/RNBQK1NR b KQkq - 1 3,x8zHWTWJ,9k3lf95G,642723,43011,515958
C50,Italian Game: Deutz Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O Nf6 5. d4,9,white,r1bqk2r/pppp1ppp/2n2n2/2b1p3/2BPP3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 5,rYTMzWf6,oBrrDyC5,682595,46478,449902
C24,Bishop's Opening: Ponziani Gambit,1. e4 e5 2. Bc4 Nf6 3. d4,5,white,rnbqkb1r/pppp1ppp/5n2/4p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq - 0 3,eTGxYEP2,5ICDHI2D,628463,48386,472420
A82,Dutch Defense: Staunton Gambit,1. d4 f5 2. e4,3,white,rnbqkbnr/ppppp1pp/8/5p2/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,tTZr7mSm,cDScoYJ5,626791,51233,470262
A40,Englund Gambit Complex: Soller Gambit,1. d4 e5 2. dxe5 f6,4,black,rnbqkbnr/pppp2pp/5p2/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,MZdpWdf6,,584183,38863,516319
A03,Bird Opening: Williams Gambit,1. f4 d5 2. e4,3,white,rnbqkbnr/ppp1pppp/8/3p4/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,b800dkfN,iifCImXc,463410,34335,504900
C50,Italian Game: Rosentreter Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d4,7,white,r1bqk1nr/pppp1ppp/2n5/2b1p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 4,,L3XN2KBg,508462,38790,455036
B01,"Scandinavian Defense: Main Line, Leonhardt Gambit",1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. b4,7,white,rnb1kbnr/ppp1pppp/8/q7/1P6/2N5/P1PP1PPP/R1BQKBNR b KQkq - 0 4,nU54GU85,mavehxvU,549812,32786,402816
C00,"French Defense: Horwitz Attack, Papa-Ticulat Gambit",1. e4 e6 2. b3 d5 3. Bb2,5,white,rnbqkbnr/ppp2ppp/4p3/3p4/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq - 1 3,wpZI6jN0,SkT8sqiL,511827,43941,429511
C53,"Italian Game: Classical Variation, Greco Gambit",1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. c3 Nf6 6. e5,11,white,r1bqk2r/pppp1ppp/2n2n2/2b1P3/2Bp4/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 6,55GlUBTE,b7wCIPCX,510385,48658,422020
A00,"Grob Opening: Grob Gambit, Fritz Gambit",1. g4 d5 2. Bg2 Bxg4 3. c4,5,white,rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq - 0 3,LQ5fYBKS,,552366,33966,393340
A10,"English Opening: Anglo-Scandinavian Defense, Schulz Gambit",1. c4 d5 2. cxd5 Nf6,4,black,rnbqkb1r/ppp1pppp/5n2/3P4/8/8/PP1PPPPP/RNBQKBNR w KQkq - 1 3,MWi8zrf3,BCmOGrYz,505812,43805,425200
B00,Pirc Defense: Roscher Gambit,1. e4 d6 2. d4 Nf6 3. Nf3,5,white,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,W9N7PIQk,kZsa5aiv,446150,40395,484274
C00,French Defense: Perseus Gambit,1. e4 e6 2. d4 d5 3. Nf3,5,white,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,dX5SwfS3,hEM7jyuh,433083,36572,488880
D00,Blackmar-Diemer Gambit: von Popiel Gambit,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Bg5,7,white,rnbqkb1r/ppp1pppp/5n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq - 3 4,nYodDqkn,hXEgaf5c,481257,37532,403191
B00,Nimzowitsch Defense: Colorado Countergambit,1. e4 Nc6 2. Nf3 f5,4,black,r1bqkbnr/ppppp1pp/2n5/5p2/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Fzs6nTwo,UJSuiZjP,422915,37731,458727
