action,eco,name,pgn,new_pgn,comment,master,lichess,white,draws,black
add,C27,Bishop's Opening: Boden-Kieseritzky Gambit,1. e4 e5 2. Bc4 Nf6 3. Nf3 Nxe4 4. Nc3,,,2iPDEK8B,,141037,12539,108458
add,C33,King's Gambit Accepted: Polerio Gambit,1. e4 e5 2. f4 exf4 3. d4,,,rYERb5yb,8hTAdjXj,88459,6307,92447
add,C35,"King's Gambit Accepted: Cunningham Defense, Bertin Gambit",1. e4 e5 2. f4 exf4 3. Nf3 Be7 4. Bc4 Bh4+ 5. g3 fxg3 6. O-O gxh2+ 7. Kh1,,,,zfZ8yY9N,91953,5101,61388
add,C37,King's Gambit Accepted: Ghulam-Kassim Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. d4 gxf3 6. Qxf3,,,,DeLDZ5Dd,23812,1193,18827
add,C37,King's Gambit Accepted: Quade Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Nc3,,,8rlVmec4,kB5RLCLa,46968,3184,37527
add,C42,"Russian Game: Classical Attack, Marshall Variation, Chinese Gambit",1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Bd6 7. O-O O-O 8. c4 c6 9. Re1 Bg4,,,xSKwEDBd,26hoGDgL,1476,162,1214
add,C42,Russian Game: Cochrane Gambit,1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nxf7,,,LnGKRbex,VIqqYXkV,176598,13962,156577
add,C42,"Russian Game: Damiano Variation, Kholmov Gambit",1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nxe4 4. Qe2 Qe7,,,OsZNbMvN,,140405,24791,160244
add,C42,Russian Game: Moody Gambit,1. e4 e5 2. Nf3 Nf6 3. Qe2 Nc6 4. d4,,,,,1650,80,1370
add,C42,Russian Game: Stafford Gambit,1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nc6,,,YiHFyvbB,7SlopDFV,1408095,116413,1405251
add,C42,Russian Game: Stafford Gambit,1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nc6 4. Nxc6 dxc6,,,wFXOqTj4,7SlopDFV,1136519,93519,1182046
add,C43,"Russian Game: Modern Attack, Tal Gambit",1. e4 e5 2. Nf3 Nf6 3. d4 exd4 4. e5 Ne4 5. Bb5,,,Vof96L5J,AmMxkgyW,154,9,69
add,C51,Italian Game: Evans Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bxb4 5. c3 Bc5 6. d4 exd4 7. O-O d6 8. cxd4 Bb6 9. Nc3,,,M3Ks2EQ1,fMvB8721,13382,874,12449
add,C53,"Italian Game: Classical Variation, Alexandre Gambit",1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 f5,,,,VH8jQeVy,15015,995,13425
add,C53,"Italian Game: Classical Variation, Greco Gambit",1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. c3 Nf6 6. e5,,"Lichess includes Black's 6...d5 in the PGN. On this site we stop at 6. e5, White's gambit thrust.",55GlUBTE,b7wCIPCX,510385,48658,422020
add,C53,"Italian Game: Scotch Gambit, Walbrodt-Baird Gambit",1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. O-O,,,Z3QydvZL,s4OTPjs1,143986,11396,111187
add,C55,Italian Game: Scotch Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O,,,y8waWkpE,XN1OgUcE,991337,107011,859509
add,D00,Blackmar-Diemer Gambit,1. d4 d5 2. e4 dxe4 3. Nc3,,,TGEbeK5Q,,2462340,185586,2097731
